BPM,Person,Time,State
80.97,1,56382,Awake
88.11,1,56382,Awake
90.77,1,56388,Awake
83.22,1,56388,Awake
78.84,1,56388,Awake
80.97,1,56393,Awake
80.97,1,56393,Awake
85.59,1,56393,Awake
90.77,1,56393,Awake
78.84,1,56399,Awake
88.24,1,56410,Awake
83.22,1,56410,Awake
85.59,1,56416,Awake
80.97,1,56416,Awake
80.97,1,56452,Awake
83.22,1,56452,Awake
83.22,1,56457,Awake
80.97,1,56457,Awake
83.22,1,56457,Awake
78.84,1,56462,Awake
83.22,1,56462,Awake
85.59,1,56462,Awake
78.84,1,56467,Awake
88.11,1,56467,Awake
80.97,1,56467,Awake
80.97,1,56474,Awake
76.82,1,56474,Awake
85.59,1,56474,Awake
83.22,1,56479,Awake
80.97,1,56479,Awake
88.11,1,56479,Awake
85.59,1,56479,Awake
83.22,1,56484,Awake
80.97,1,56484,Awake
85.59,1,56484,Awake
85.59,1,56484,Awake
85.59,1,56490,Awake
85.59,1,56490,Awake
85.59,1,56490,Awake
85.59,1,56490,Awake
88.11,1,56496,Awake
85.59,1,56496,Awake
78.84,1,56496,Awake
83.22,1,56515,Awake
85.59,1,56515,Awake
85.71,1,56515,Awake
85.59,1,56521,Awake
90.77,1,56521,Awake
85.59,1,56527,Awake
88.24,1,56527,Awake
78.74,1,56527,Awake
80.97,1,56533,Awake
83.22,1,56533,Awake
88.11,1,56538,Awake
88.11,1,56538,Awake
80.97,1,56538,Awake
80.97,1,56538,Awake
58.77,1,56544,Asleep
76.82,1,56544,Awake
76.82,1,56544,Awake
80.97,1,56549,Awake
80.97,1,56549,Awake
85.59,1,56549,Awake
83.22,1,56554,Awake
78.84,1,56554,Awake
85.59,1,56554,Awake
83.33,1,56554,Awake
83.22,1,56560,Awake
85.59,1,56560,Awake
80.97,1,56560,Awake
88.11,1,56560,Awake
83.22,1,56565,Awake
88.11,1,56565,Awake
88.11,1,56565,Awake
90.77,1,56570,Awake
85.71,1,56570,Awake
88.11,1,56570,Awake
85.59,1,56576,Awake
88.11,1,56576,Awake
78.84,1,56576,Awake
80.97,1,56576,Awake
85.71,1,56581,Awake
76.82,1,56581,Awake
80.97,1,56581,Awake
80.97,1,56586,Awake
80.97,1,56586,Awake
83.22,1,56586,Awake
83.22,1,56586,Awake
80.97,1,56591,Awake
83.22,1,56591,Awake
78.84,1,56591,Awake
80.97,1,56596,Awake
80.97,1,56596,Awake
85.71,1,56596,Awake
83.22,1,56596,Awake
80.97,1,56602,Awake
80.97,1,56602,Awake
85.59,1,56602,Awake
83.33,1,56602,Awake
80.97,1,56608,Awake
83.22,1,56608,Awake
83.33,1,56608,Awake
78.84,1,56608,Awake
83.22,1,56613,Awake
83.33,1,56613,Awake
80.97,1,56613,Awake
88.24,1,56613,Awake
80.97,1,56619,Awake
83.22,1,56619,Awake
85.59,1,56619,Awake
80.97,1,56619,Awake
81.08,1,56625,Awake
83.22,1,56625,Awake
83.22,1,56638,Awake
80.97,1,56638,Awake
81.08,1,56644,Awake
85.59,1,56644,Awake
88.11,1,56644,Awake
90.77,1,56644,Awake
74.91,1,56649,Asleep
73.08,1,56649,Asleep
80.97,1,56649,Awake
80.97,1,56655,Awake
85.71,1,56655,Awake
78.84,1,56655,Awake
76.82,1,56660,Awake
81.08,1,56660,Awake
83.22,1,56660,Awake
81.08,1,56665,Awake
83.22,1,56665,Awake
78.84,1,56665,Awake
88.24,1,56665,Awake
85.59,1,56671,Awake
83.22,1,56671,Awake
85.59,1,56671,Awake
85.59,1,56671,Awake
85.59,1,56677,Awake
80.97,1,56677,Awake
83.22,1,56677,Awake
76.82,1,56677,Awake
76.82,1,56682,Awake
80.97,1,56682,Awake
76.82,1,56682,Awake
80.97,1,56687,Awake
74.91,1,56687,Asleep
76.82,1,56687,Awake
78.84,1,56687,Awake
73.08,1,56692,Asleep
76.82,1,56692,Awake
80.97,1,56692,Awake
83.33,1,56698,Awake
83.22,1,56698,Awake
83.33,1,56698,Awake
83.22,1,56703,Awake
83.22,1,56703,Awake
85.59,1,56703,Awake
85.71,1,56709,Awake
83.22,1,56709,Awake
78.84,1,56709,Awake
80.97,1,56714,Awake
83.22,1,56714,Awake
88.11,1,56714,Awake
90.77,1,56714,Awake
85.71,1,56719,Awake
83.22,1,56719,Awake
83.22,1,56719,Awake
88.11,1,56719,Awake
85.59,1,56725,Awake
88.11,1,56725,Awake
85.59,1,56725,Awake
78.84,1,56725,Awake
69.69,1,56731,Asleep
83.22,1,56731,Awake
74.91,1,56736,Asleep
80.97,1,56736,Awake
80.97,1,56736,Awake
80.97,1,56736,Awake
83.22,1,56741,Awake
83.22,1,56741,Awake
80.97,1,56741,Awake
85.59,1,56746,Awake
83.33,1,56746,Awake
83.22,1,56746,Awake
88.11,1,56746,Awake
85.59,1,56752,Awake
85.59,1,56752,Awake
85.59,1,56752,Awake
85.59,1,56752,Awake
83.33,1,56757,Awake
78.84,1,56757,Awake
88.11,1,56757,Awake
81.08,1,56757,Awake
74.91,1,56762,Asleep
85.59,1,56762,Awake
88.24,1,56762,Awake
88.11,1,56767,Awake
80.97,1,56767,Awake
81.08,1,56767,Awake
88.11,1,56767,Awake
90.77,1,56773,Awake
80.97,1,56773,Awake
80.97,1,56773,Awake
80.97,1,56773,Awake
88.24,1,56778,Awake
71.34,1,56778,Asleep
78.84,1,56778,Awake
83.22,1,56783,Awake
76.82,1,56783,Awake
80.97,1,56783,Awake
74.91,1,56783,Asleep
80.97,1,56788,Awake
88.11,1,56788,Awake
83.22,1,56788,Awake
85.59,1,56788,Awake
85.71,1,56794,Awake
83.22,1,56807,Awake
85.59,1,56812,Awake
83.22,1,56812,Awake
85.59,1,56812,Awake
80.97,1,56812,Awake
78.95,1,56817,Awake
78.84,1,56817,Awake
73.08,1,56817,Asleep
78.84,1,56822,Awake
83.22,1,56822,Awake
78.84,1,56822,Awake
83.22,1,56822,Awake
83.22,1,56827,Awake
81.08,1,56827,Awake
85.59,1,56832,Awake
80.97,1,56832,Awake
88.11,1,56832,Awake
83.22,1,56838,Awake
73.08,1,56838,Asleep
88.24,1,56838,Awake
83.22,1,56838,Awake
83.22,1,56844,Awake
85.59,1,56844,Awake
80.97,1,56844,Awake
88.11,1,56844,Awake
85.59,1,56849,Awake
83.22,1,56849,Awake
85.59,1,56849,Awake
78.84,1,56849,Awake
83.22,1,56855,Awake
73.08,1,56855,Asleep
74.91,1,56855,Asleep
80.97,1,56860,Awake
83.22,1,56860,Awake
78.84,1,56860,Awake
80.97,1,56860,Awake
